Order No,Company Name,Order Date,Year,Quarter,Product Name,Category Name,Price,Quantity,Total
10248,Vins et alcools Chevalier,8/4/2017,2017,3,Mozzarella di Giovanni,Dairy Products,34.8,5,174
10248,Vins et alcools Chevalier,8/4/2017,2017,3,Queso Cabrales,Dairy Products,14,12,168
10248,Vins et alcools Chevalier,8/4/2017,2017,3,Singaporean Hokkien Fried Mee,Grains/Cereals,9.8,10,98
10249,Toms Spezialitäten,8/5/2017,2017,3,Manjimup Dried Apples,Produce,42.4,40,1696
10249,Toms Spezialitäten,8/5/2017,2017,3,Tofu,Produce,18.6,9,167.4
10250,Hanari Carnes,8/8/2017,2017,3,Manjimup Dried Apples,Produce,42.4,35,1484
10250,Hanari Carnes,8/8/2017,2017,3,Louisiana Fiery Hot Pepper Sauce,Condiments,16.8,15,252
10250,Hanari Carnes,8/8/2017,2017,3,Jack's New England Clam Chowder,Seafood,7.7,10,77
10251,Victuailles en stock,8/8/2017,2017,3,Louisiana Fiery Hot Pepper Sauce,Condiments,16.8,20,336
10251,Victuailles en stock,8/8/2017,2017,3,Ravioli Angelo,Grains/Cereals,15.6,15,234
10251,Victuailles en stock,8/8/2017,2017,3,Gustaf's Knäckebröd,Grains/Cereals,16.8,6,100.8
10252,Suprêmes délices,8/9/2017,2017,3,Sir Rodney's Marmalade,Confections,64.8,40,2592
10252,Suprêmes délices,8/9/2017,2017,3,Camembert Pierrot,Dairy Products,27.2,40,1088
10252,Suprêmes délices,8/9/2017,2017,3,Geitost,Dairy Products,2,25,50
10253,Hanari Carnes,8/10/2017,2017,3,Maxilaku,Confections,16,40,640
10253,Hanari Carnes,8/10/2017,2017,3,Chartreuse verte,Beverages,14.4,42,604.8
10253,Hanari Carnes,8/10/2017,2017,3,Gorgonzola Telino,Dairy Products,10,20,200
10254,Chop-suey Chinese,8/11/2017,2017,3,Pâté chinois,Meat/Poultry,19.2,21,403.2
10254,Chop-suey Chinese,8/11/2017,2017,3,Longlife Tofu,Produce,8,21,168
